p+0.04_10.9548_0 dE= 0.01202
actual force   predicted force   difference
4234255887398.55078
4349285523535.28320
5569056066621.19531
4215161058665.58105
4252277827834.24756
5664889629035.42773
4160713839141.35840
4271985909151.42334
5615214981568.27246
3961497272992.97656
4338831204058.16748
5485118612105.37598
3669674288195.08154
4039108723552.34229
5542330929153.68066
3414178851479.44580
3530077556954.05664
5716506368867.26855
3278741488991.24805
3210921283348.94873
5679227767062.76367
3523417180103.05322
3714816366816.93457
5627000007773.14355
3887232304305.38623
4327939482610.03125
5399318979476.43457
4119470008407.61963
4854803154521.22656
5071744583430.81055
4197117535974.10498
4651481983454.59180
5307537356426.36621
4160713839141.35840
4271985909151.42188
5615214981568.27246
3992249357144.67236
4029129094539.82617
5735048808128.56836
3775826898087.22754
3870184037932.54590
5621995489372.46777
3446234663383.99609
3692463406010.64502
5484818838080.77539
3208790594725.92529
3317907326405.12891
5568551651461.30078
2877811909544.94434
2832410922492.53516
5212250138075.96094
3251706779348.61670
3409787996384.09766
5435984508653.11035
3703501823742.76074
4007684589032.57471
5463424588895.81055
3969688555178.36523
4465476083657.54102
5317362223060.91016
4035251759723.65918
4638634674001.62305
5245363932936.14648
3961497272992.97607
4338831204058.16602
5485118612105.37598
3775826898087.22705
3870184037932.54639
5621995489372.46777
3425052304115.01953
3456877521632.32373
5433494686192.19238
3039469154401.10156
3113619902015.66943
5055331677626.87207
2744578535482.45312
2833446669738.33984
4964873007541.08594
2150066376476.92603
2154117583115.90894
4056055451112.62451
2702574693852.97168
2864500884968.57764
4788073297286.00879
3284685444258.53809
3492325073125.38574
5340746116483.24805
3634801465860.71777
3895126897442.38428
5529431399944.10938
3742587877638.73145
4092658071372.31885
5520884824823.76367
3669674288195.08203
4039108723552.34229
5542330929153.67969
3446234663383.99512
3692463406010.64502
5484818838080.77539
3039469154401.10205
3113619902015.66797
5055331677626.87207
2472440532196.48096
2486500877921.04102
4259757997622.24072
2088931085948.12207
1981753212950.87207
3718044574418.17822
1192542955737.08496
1214282514401.00684
2244374713774.81299
1981753212950.86938
2088931085948.11792
3718044574418.17432
2744578535482.45215
2833446669738.33984
4964873007541.08691
3208790594725.92432
3317907326405.12744
5568551651461.29980
3414178851479.44434
3530077556954.05322
5716506368867.26758
3414178851479.44482
3530077556954.05420
5716506368867.26855
3208790594725.92334
3317907326405.12793
5568551651461.29980
2744578535482.45312
2833446669738.33984
4964873007541.08594
2088931085948.12134
1981753212950.87158
3718044574418.17725
1214282514401.00830
1192542955737.08716
2244374713774.81543
1466426454679.29565
2899516965710.83252
1573102475505.22485
1865969173710.47852
1867906275432.68677
3326529676352.39111
2621249369883.30029
2538711094607.90234
4470032159627.46777
3270854389611.25830
3110290511721.77002
5295819693985.76562
3676378330839.97412
3436668742560.04932
5603079424517.12598
3808092833741.94043
3570960636416.02979
5638227950829.66016
3714816366816.93359
3523417180103.05225
5627000007773.14355
3409787996384.09570
3251706779348.61475
5435984508653.11035
