-1.12571 2.12327 -0.75196 Ir
-0.37716 1.87289 1.24625 Ir
0.74910 2.75032 1.49909 Ir
-1.12488 2.62603 -0.24804 Ir
0.62265 2.37480 1.24814 Ir
0.74776 2.25030 1.50098 Ir
0.62236 2.87281 1.74906 Ir
0.25045 2.25138 1.00213 Ir
-1.50042 2.00057 -0.50010 Ir
0.12530 2.87288 1.24891 Ir
0.25270 2.25159 1.50105 Ir
0.12677 0.87491 -0.24815 Ir
0.00207 2.50114 1.50046 Ir
0.12803 0.37768 -0.24626 Ir
0.00063 0.99819 -0.50073 Ir
-1.25166 2.74756 -0.00183 Ru
-0.12499 1.62384 1.24723 Ru
-1.50062 2.49967 -0.00076 Ru
0.49939 0.99880 -0.00205 Ru
-1.12435 2.12675 -0.24700 Ru
0.25081 2.74996 1.00112 Ru
0.37436 2.62498 1.25001 Ru
0.49751 2.49982 1.50010 Ru
-1.37399 2.37773 -0.24813 Ru
0.37369 2.12525 1.24974 Ru
0.25055 2.74815 1.49877 Ru
-0.00037 1.49997 1.00187 Ru
0.37673 2.62538 1.75011 Ru
0.12594 2.37626 1.25027 Ru
0.00186 2.00157 1.00084 Ru
-1.62501 2.12425 -0.25017 Ru
