0.33332 -1.33332 5.25000 Ru
0.66668 -1.66668 5.75000 Ru
0.83928 -1.32140 5.25447 Ru
0.84821 -1.81246 5.25447 Ru
3.33332 -3.83332 -0.75000 Ru
3.16668 -3.66668 -0.25000 Ru
0.66668 -1.16668 5.75000 Ru
0.16668 -1.16668 5.76331 Ru
1.35269 -2.30184 -0.75665 Ru
1.67032 -2.66668 -0.25000 Ru
1.83332 -2.33332 -0.75000 Ru
1.83332 -2.83332 -0.75000 Ru
-0.66668 0.16668 5.25000 Ru
-0.82073 0.33751 5.78458 Ru
1.66248 -2.15410 -0.25000 Ru
1.16668 -2.16668 -0.25000 Ru
-0.66668 -0.33332 5.25000 Ru
-0.33332 -0.66668 5.75000 Ru
-0.16062 -0.32120 5.25461 Ru
-0.13639 -0.83635 5.26383 Ru
2.33332 -2.83332 -0.75000 Ru
2.16668 -2.66668 -0.25000 Ru
-0.33332 -0.16668 5.75000 Ru
-0.83332 -0.16668 5.76331 Ru
0.35007 -1.30708 -0.75333 Ru
0.67758 -1.66668 -0.25000 Ru
0.83332 -1.33332 -0.75000 Ru
0.83332 -1.83332 -0.75000 Ru
0.33332 -1.83332 -0.75000 Ru
0.19492 -1.64634 -0.26134 Ru
0.68718 -1.14634 -0.25000 Ru
0.16668 -1.16668 -0.25000 Ru
4.33332 -4.33332 0.25000 Ru
4.66668 -4.66668 0.75000 Ru
1.83483 -2.33029 6.25461 Ru
4.86361 -4.84543 0.26383 Ru
2.33332 -1.83332 6.25000 Ru
2.16668 -1.66668 6.75000 Ru
1.66668 -2.16668 6.75000 Ru
4.16668 -4.16668 0.75333 Ru
3.35794 -3.29135 0.24335 Ru
3.67032 -3.66668 0.75000 Ru
0.83332 -1.33332 6.25000 Ru
3.83332 -3.83332 0.25000 Ru
3.33332 -3.83332 0.25000 Ru
3.17140 -3.66249 0.79034 Ru
0.65566 -1.16249 6.75000 Ru
3.16668 -3.16668 0.75000 Ru
2.33332 -2.33332 0.25000 Ru
2.66668 -2.66668 0.75000 Ru
-0.16517 -0.33029 6.25461 Ru
2.85452 -2.84543 0.26383 Ru
2.33332 -2.83332 0.25000 Ru
2.16668 -2.66668 0.75000 Ru
-0.33332 -0.16668 6.75000 Ru
2.16668 -2.16668 0.75333 Ru
4.35531 -4.29659 1.24667 Ru
1.67758 -2.66668 -4.25000 Ru
-1.16668 -0.33332 1.25000 Ru
1.83332 -2.83332 -4.75000 Ru
-0.66668 0.16668 1.25000 Ru
-0.82860 0.33751 1.78458 Ru
-1.33647 -0.16249 1.75000 Ru
4.16668 -4.16668 1.75000 Ru
3.33332 -3.33332 1.25000 Ru
3.66668 -3.66668 1.75000 Ru
0.83483 -1.33029 7.25461 Ru
3.85452 -3.84543 1.26383 Ru
3.33332 -3.83332 1.25000 Ru
3.16668 -3.66668 1.75000 Ru
0.66668 -1.16668 7.75000 Ru
3.16668 -3.16668 1.75333 Ru
2.35531 -2.29659 1.24667 Ru
2.67758 -2.66668 1.75000 Ru
-0.16668 -0.33332 7.25000 Ru
2.83332 -2.83332 1.25000 Ru
2.33332 -2.83332 1.25000 Ru
2.17140 -2.66249 1.77882 Ru
-0.32965 -0.15410 7.75000 Ru
2.16668 -2.16668 1.75000 Ru
3.33332 -3.33332 2.25000 Ru
3.66668 -3.66668 2.75000 Ru
0.83635 -1.32726 8.26383 Ru
3.85452 -3.83635 2.26383 Ru
3.33332 -3.83332 2.25000 Ru
3.16668 -3.66668 2.75000 Ru
0.66668 -1.16668 8.75000 Ru
3.16668 -3.16668 2.76664 Ru
2.35733 -2.30708 2.24667 Ru
2.67758 -2.66668 2.75000 Ru
-0.16668 -0.33332 8.25000 Ru
2.83332 -2.83332 2.26331 Ru
2.34220 -2.82282 2.29658 Ru
2.17758 -2.66668 2.75000 Ru
-0.33332 -0.16668 8.75000 Ru
2.16668 -2.16668 2.76331 Ru
3.34482 -3.31758 3.29326 Ru
0.67032 -1.66668 -2.25000 Ru
3.83332 -3.33332 3.25000 Ru
0.83332 -1.83332 -2.75000 Ru
3.33332 -3.83332 3.25000 Ru
3.17927 -3.66249 3.75576 Ru
3.70288 -3.16249 3.75000 Ru
3.16668 -3.16668 3.75000 Ru
2.33332 -2.33332 3.25000 Ru
2.66668 -2.66668 3.75000 Ru
2.83938 -2.32120 3.25461 Ru
2.85452 -2.79091 3.26383 Ru
2.33332 -2.83332 3.25000 Ru
2.16668 -2.66668 3.75000 Ru
2.66668 -2.16668 3.75000 Ru
2.16668 -2.16668 3.76331 Ru
2.34220 -2.32282 4.29658 Ru
2.67758 -2.66668 4.75000 Ru
2.83332 -2.33332 4.25000 Ru
2.83332 -2.83332 4.25000 Ru
2.33332 -2.83332 4.25000 Ru
2.17927 -2.66249 4.76729 Ru
2.70288 -2.16249 4.75000 Ru
2.16668 -2.16668 4.75000 Ru
2.33332 -2.33332 5.25000 Ru
-0.33332 -0.66668 -0.25000 Ru
2.83938 -2.32120 5.25461 Ru
-0.14245 -0.79394 -0.74539 Ru
2.33332 -2.83332 5.25000 Ru
2.16668 -2.66668 5.75000 Ru
2.66668 -2.16668 5.75000 Ru
2.16668 -2.16668 5.76331 Ru
