p+0.04_10.912_0 dE= 0.01142
p+0.04_10.912_1 dE= 0.01021
actual force   predicted force   difference
5932442850983.29688
4647790871197.45410
4652722282930.99023
4934837947956.71289
4266666298017.66846
4062633161140.88086
3974087021285.72559
5378859654745.29004
5324084071765.81836
3334437636981.34033
1958553437312.30908
1935476231227.97144
5872167022576.18848
4499555617758.77539
4486749634829.44043
4627484119575.09375
4648318525369.70020
3954528911342.83350
3860513806384.11133
5121190519464.95898
5316628428775.06250
5419248560197.79297
2880062258976.40332
2806034916801.20215
6449802715064.46973
4563015365233.72461
4498955470474.88281
4363979351558.40967
4716308354717.75879
4077269571535.39648
3864732294926.38379
5138028482175.30469
5387613576675.95801
3122224245109.78174
2986790017158.57422
5719349341913.87305
6303107142027.55469
4290695745711.50781
4271936237959.70947
4412701868029.94043
4098866648812.88672
3870423116075.64795
4906112679443.01367
3470018271693.57666
3331887297511.43750
5222063047425.19727
5479578414777.91113
5981535645244.68945
6190763665794.40430
3736269289411.00781
3810156471704.64502
3914681637593.04102
4189793244044.73291
4238562859707.95752
4345403189664.92725
3616668206841.14648
4976920951034.41309
5266035540647.83496
5514134295712.42578
6014494529432.80664
6234228502465.61621
4290695745711.50977
4271936237959.71045
4098866648812.88721
4412701868029.93848
3870423116075.64893
4906112679443.01270
3470018271693.57520
3331887297511.43457
5222063047425.19922
5479578414777.91309
5981535645244.68848
6190763665794.40625
4563015365233.72266
4498955470474.88281
4363979351558.40918
4716308354717.75879
4077269571535.39502
3864732294926.38281
5138028482175.30566
5387613576675.95996
3122224245109.78320
2986790017158.57568
5719349341913.87305
6303107142027.55273
4648318525369.69922
4627484119575.09473
4486749634829.44141
4499555617758.77637
3860513806384.10986
3954528911342.83398
5121190519464.96094
5316628428775.06152
5419248560197.79297
2806034916801.20312
2880062258976.40234
6449802715064.46875
4598961503586.38281
4616789079599.51074
4637889613820.28906
5059338733904.81934
5059887689153.17773
5313729319987.76660
5450927397821.31152
3606852672486.27197
3700946727091.30225
3431116230298.64746
3334817832033.02295
6698049140831.11230
4477068591524.37500
4420741910362.89941
4540121148460.51172
3654446101695.39551
3618121450347.87158
3831909337430.58203
3407815418474.76465
4970646939349.51562
5136718105447.16504
5393268639499.36035
5748575482960.84473
6492253055609.09961
4189793244044.73340
4238562859707.95752
4345403189664.92529
3914681637593.04053
3810156471704.64453
3736269289411.00781
3616668206841.14502
4976920951034.41211
5266035540647.83301
5514134295712.42188
6014494529432.80957
6234228502465.61816
3935568021375.66797
4110801724902.02197
4110801724902.02051
3935568021375.66602
6117669470580.56348
6117669470580.56055
4145102978450.55029
3786020320776.83105
3747532663047.19873
5333207203490.03125
4992936838678.54395
5574743256123.80371
3810156471704.64258
3736269289411.00928
3914681637593.04102
3616668206841.14502
4189793244044.73486
4238562859707.95947
4345403189664.92383
4976920951034.41309
5266035540647.83398
5514134295712.42188
6014494529432.80273
6234228502465.62109
4477068591524.37500
4420741910362.89648
4540121148460.50977
3831909337430.58301
3654446101695.39844
3618121450347.86914
3407815418474.76611
4970646939349.51465
5136718105447.16504
5393268639499.35938
5748575482960.84473
6492253055609.10059
4637889613820.28906
4616789079599.51074
4598961503586.38184
5059338733904.81934
5059887689153.17871
5313729319987.77051
5450927397821.31055
3700946727091.30078
3606852672486.27197
3431116230298.64697
3334817832033.02295
6698049140831.11133
4627484119575.09473
4648318525369.69922
4499555617758.77637
4486749634829.44043
3954528911342.83350
3860513806384.11084
5121190519464.95898
5316628428775.05957
5419248560197.79199
2880062258976.40234
2806034916801.20166
6449802715064.46680
4563015365233.72363
4498955470474.88281
4363979351558.40918
4716308354717.75879
4077269571535.39746
3864732294926.38428
5138028482175.30566
5387613576675.96094
3122224245109.78369
2986790017158.57666
5719349341913.87305
6303107142027.55469
4290695745711.50781
4271936237959.70947
4098866648812.88525
4412701868029.93945
3870423116075.64697
3470018271693.57568
4906112679443.01367
3331887297511.43652
5222063047425.19727
5479578414777.91211
5981535645244.68652
6190763665794.40527
3810156471704.64258
3914681637593.04053
3736269289411.00781
4189793244044.73486
4238562859707.95752
4345403189664.92480
3616668206841.14502
4976920951034.41211
5266035540647.83398
5514134295712.42188
6014494529432.80566
6234228502465.61914
4290695745711.50781
4271936237959.70850
4098866648812.88721
4412701868029.93945
3870423116075.64990
3470018271693.57520
4906112679443.01562
3331887297511.43652
5222063047425.19727
5479578414777.91309
5981535645244.68848
6190763665794.40723
4498955470474.88281
4563015365233.72168
4363979351558.40967
4716308354717.75879
4077269571535.39551
3864732294926.38428
5138028482175.30664
2986790017158.57471
3122224245109.78320
5387613576675.96191
5719349341913.87305
6303107142027.55469
4486749634829.43945
4499555617758.77539
4627484119575.09473
4648318525369.69922
3954528911342.83154
3860513806384.10986
5121190519464.96094
5316628428775.05957
5419248560197.79297
2880062258976.40332
2806034916801.20166
6449802715064.46875
4652722282930.99023
4647790871197.45215
4266666298017.66846
4062633161140.88086
3974087021285.72803
4934837947956.71289
5324084071765.81934
5378859654745.29004
3334437636981.34180
1935476231227.97070
1958553437312.31030
5872167022576.18652
4610822594145.28223
4606616043199.73438
4136842268807.02832
4009943426554.07764
3946720977268.33105
4331298575492.65234
5031267324616.76172
5362855683646.50879
2447046676416.92529
2362178775869.92041
5648657105569.38086
5932442850983.29297
4498955470474.88281
4563015365233.72168
4363979351558.40918
4716308354717.75781
4077269571535.39648
3864732294926.38379
5138028482175.30566
5387613576675.96191
3122224245109.78223
2986790017158.57568
5719349341913.87305
6303107142027.55469
4477068591524.37500
4420741910362.89648
4540121148460.51172
3618121450347.86865
3654446101695.39502
3831909337430.58105
3407815418474.76611
4970646939349.51367
5136718105447.16504
5393268639499.35742
5748575482960.84473
6492253055609.09375
4498955470474.88574
4563015365233.72461
4363979351558.41016
4716308354717.75977
4077269571535.39551
3864732294926.38623
5138028482175.30566
5387613576675.96094
3122224245109.78418
2986790017158.57471
5719349341913.87207
6303107142027.55469
4606616043199.73340
4610822594145.28418
4136842268807.02832
4009943426554.07812
3946720977268.33154
4331298575492.65430
5031267324616.75977
5362855683646.50684
5648657105569.37988
2362178775869.92139
2447046676416.92822
5932442850983.29688
4647790871197.45312
4652722282930.99023
4266666298017.66699
4062633161140.88086
3974087021285.72559
4934837947956.71289
5324084071765.81836
5378859654745.28906
3334437636981.34131
1958553437312.31250
1935476231227.97192
5872167022576.18848
4671833343405.45898
4671833343405.45996
4062167268979.58740
4062167268979.58887
5329851620565.24805
5329851620565.25098
1037143472124.75537
1037143472124.76062
3985255751708.36475
4745072378719.36719
5409638451928.77051
1904883245752.44336
4647790871197.45215
4652722282930.99023
4266666298017.66748
4062633161140.88184
3974087021285.72754
4934837947956.71289
5324084071765.81738
5378859654745.28906
3334437636981.34033
1958553437312.31128
1935476231227.96680
5872167022576.18652
4486749634829.44141
4499555617758.77637
4627484119575.09668
4648318525369.70020
3954528911342.83447
3860513806384.10986
5121190519464.96191
5316628428775.05957
5419248560197.79199
2880062258976.40137
2806034916801.20312
6449802715064.46680
4598961503586.38379
4616789079599.50977
4637889613820.29004
5059338733904.81934
5059887689153.17578
3606852672486.27051
3431116230298.64893
3700946727091.30176
3334817832033.02344
5313729319987.76660
5450927397821.31250
6698049140831.11035
4499555617758.77637
4486749634829.44141
4648318525369.69922
4627484119575.09570
3954528911342.83301
3860513806384.10938
5121190519464.95898
5316628428775.06152
5419248560197.79297
2806034916801.19971
2880062258976.40332
6449802715064.46680
4647790871197.45410
4652722282930.99219
4266666298017.66602
4062633161140.87793
3974087021285.72559
4934837947956.71289
5324084071765.81836
5378859654745.29004
3334437636981.34180
1935476231227.97021
1958553437312.31006
5872167022576.18945
4062167268979.58691
4062167268979.58740
4671833343405.45996
4671833343405.45996
5329851620565.25098
5329851620565.25000
1037143472124.76501
1037143472124.76160
4745072378719.36523
3985255751708.36621
5409638451928.76855
1904883245752.44385
4647790871197.45312
4652722282930.99023
4062633161140.88135
3974087021285.72803
4266666298017.66846
4934837947956.71289
5324084071765.81738
5378859654745.29004
3334437636981.34033
1958553437312.31030
1935476231227.97217
5872167022576.19043
4606616043199.73438
4610822594145.28125
4009943426554.07959
4136842268807.02637
4331298575492.65479
3946720977268.33105
5031267324616.75977
5362855683646.50879
2447046676416.92676
2362178775869.92188
5648657105569.38184
5932442850983.29492
4563015365233.72363
4498955470474.88281
4363979351558.41016
4716308354717.75879
4077269571535.39502
3864732294926.38379
5138028482175.30371
5387613576675.95996
3122224245109.78076
2986790017158.57861
5719349341913.87500
6303107142027.55566
4540121148460.51074
4477068591524.37598
4420741910362.89648
3654446101695.39648
3618121450347.87109
3831909337430.58154
3407815418474.76416
4970646939349.51465
5136718105447.16602
5393268639499.36133
5748575482960.84766
6492253055609.09668
4498955470474.88281
4563015365233.72461
4363979351558.41162
4716308354717.75879
4077269571535.39551
3864732294926.38379
5138028482175.30566
5387613576675.96191
2986790017158.57568
3122224245109.78174
5719349341913.87598
6303107142027.55469
4606616043199.73438
4610822594145.28223
4136842268807.02783
4331298575492.65283
4009943426554.07812
3946720977268.33008
5031267324616.75977
5362855683646.51074
5648657105569.38184
2447046676416.92871
2362178775869.92285
5932442850983.29590
4652722282930.99023
4647790871197.45312
4266666298017.66699
4062633161140.88086
3974087021285.72559
4934837947956.71387
5378859654745.29102
5324084071765.81934
3334437636981.34131
1958553437312.31348
1935476231227.96899
5872167022576.18848
4009943426554.07715
3946720977268.33105
4136842268807.02783
4331298575492.65283
4606616043199.73340
4610822594145.28223
5031267324616.76172
5362855683646.50879
2447046676416.92725
2362178775869.92188
5648657105569.38086
5932442850983.29492
4549421836993.01367
4549421836993.01367
4239478857243.29492
4239478857243.29199
5566029172117.36621
2595716516525.74658
2595716516525.74170
5566029172117.36719
4436583801387.41504
3797404972386.44531
5088089384314.34082
6058347265846.76953
4210302392024.59912
4180284509345.49805
4328908404443.99316
4474977851114.57324
4733172998447.50684
3670050068073.61816
5170164672953.38086
3141355079385.20654
2963042977300.28760
5483941069590.03418
5804040892583.10156
6235051009293.82129
4240288286017.55713
4312840218959.04492
4381572000464.37109
3811424006771.59961
3714242480442.48535
3485837566345.99365
4781148780645.49805
3258645558157.45557
5211215263506.16992
5458902220085.26953
5927743517836.48633
6305348554313.18066
4210302392024.59766
4180284509345.50049
4328908404443.99463
4474977851114.57324
4733172998447.50684
3670050068073.61865
5170164672953.38184
3141355079385.20801
2963042977300.28906
5483941069590.03516
5804040892583.10156
6235051009293.82129
4549421836993.01270
4549421836993.01367
4239478857243.29590
4239478857243.29688
5566029172117.36621
5566029172117.36426
2595716516525.74561
2595716516525.74707
4436583801387.41797
3797404972386.44629
5088089384314.34180
6058347265846.76953
4606616043199.73535
4610822594145.28223
4331298575492.65430
3946720977268.33252
4009943426554.07764
4136842268807.02637
5031267324616.75977
5362855683646.50977
5648657105569.38086
2447046676416.92822
2362178775869.92285
5932442850983.29590
4563015365233.72363
4498955470474.88477
4363979351558.41016
4716308354717.75879
4077269571535.39648
3864732294926.38379
5138028482175.30469
5387613576675.96094
3122224245109.78223
2986790017158.57617
5719349341913.87500
6303107142027.55469
4210302392024.60010
4328908404443.99561
4180284509345.49756
4474977851114.57520
4733172998447.50488
3670050068073.62012
5170164672953.38184
3141355079385.20605
2963042977300.28857
5483941069590.03613
5804040892583.10254
6235051009293.82129
4077447125318.73926
4066162634743.90527
4113556783411.77441
4214597768137.66016
3205164974515.27295
3220203295541.69043
3556812295349.14746
4675922852200.91992
5273608205918.69434
5595570815129.97266
5850450319072.49707
6186344580972.99609
4055093721326.45703
4029152871645.57910
4110953565256.66455
3673388702140.86133
3652705265986.22803
3463836577246.05176
3319837870030.93408
4577952770412.43164
5327472211627.91309
5604546230549.87695
6004934187253.17090
6077826987361.93750
4077447125318.74072
4066162634743.90381
4113556783411.77441
4214597768137.66016
3556812295349.14648
3205164974515.27344
3220203295541.68896
4675922852200.91895
5273608205918.69434
5595570815129.96973
5850450319072.49609
6186344580972.99512
4180284509345.49805
4210302392024.59668
4328908404443.99463
4474977851114.57324
4733172998447.50684
3670050068073.61914
3141355079385.20654
2963042977300.28760
5170164672953.37988
5483941069590.03711
5804040892583.09766
6235051009293.82031
4498955470474.88281
4563015365233.72363
4363979351558.41016
4716308354717.75781
4077269571535.39746
3864732294926.38525
5138028482175.30664
5387613576675.96191
3122224245109.78223
2986790017158.57666
5719349341913.87500
6303107142027.55078
4420741910362.89746
4477068591524.37500
4540121148460.51074
3654446101695.39551
3618121450347.86914
3831909337430.58105
3407815418474.76221
4970646939349.51172
5136718105447.16602
