p+0.04_10.8241_0 dE= 0.01041
p+0.04_10.8241_1 dE= 0.00879
actual force   predicted force   difference
4701420274432.72852
4531824794055.73535
4356391025239.36572
5894124356012.38379
5944901160211.32617
3667540980818.81152
3382318204504.38232
6242807294205.35547
5435355906210.63477
5475940423087.08789
5397221370923.92090
5678144892509.66504
6042801463713.27734
5952410776959.57910
4971557550907.45801
4669140470584.60547
4352504219023.39404
4055345717995.92090
6453723520158.68164
3685416883198.50537
5366264116688.44629
5277756207796.15723
5505197071897.63672
5140044273609.50000
4701420274432.72852
4531824794055.73730
4356391025239.36621
5894124356012.38477
5944901160211.32520
3667540980818.81445
6242807294205.35449
3382318204504.38135
5657415818146.00684
5657642279462.84180
5620472435859.41211
4975624244791.96484
5044292310118.45801
5118407235574.43652
4691531532926.18555
4188294503039.33447
4153870410920.30908
4097578456896.80713
2669128483484.51172
2988913722080.14844
4736193586345.72461
4714886009231.19043
4842685405751.76172
5045696400728.61914
4349409848008.58936
3816946034552.25244
3898899598560.78711
3628882311890.05859
5296928113352.25195
5390894244276.49707
2375530281966.43164
2355737449392.21191
5020174452095.41699
4972606231669.39941
5253292698827.22363
5280664586692.15723
4522728180095.79688
4344442995275.02783
4268090047704.49463
5722362204794.76367
5960206569897.50000
3397173749658.60645
3277644057602.56934
6276078140692.85938
5140044273609.50000
5277756207796.15430
5366264116688.44434
5505197071897.63672
4701420274432.72949
4531824794055.73535
4356391025239.36523
5894124356012.38281
5944901160211.32715
6242807294205.35742
3667540980818.81152
3382318204504.38086
5782107882668.19922
5789466309407.90332
5423695301396.66797
5420606602458.65723
5640895921624.57715
5937395474653.57324
5061079460572.99121
4722881036618.42676
4382970573905.96875
6294550253277.16211
3967597574213.72510
3692454405214.22852
5719864450791.98340
5760917468973.19629
5551448467266.02734
5405563225200.83105
5927320205274.38477
5998370397218.17578
5284166046106.13867
4847144198032.13574
6225477965873.04883
4263654533549.37744
4137025315836.24512
3915288620952.06982
5423695301396.66992
5420606602458.65723
5782107882668.20117
5789466309407.90723
5640895921624.58008
5937395474653.57617
5061079460572.99219
4722881036618.42480
4382970573905.97070
6294550253277.16211
3967597574213.72852
3692454405214.23145
5277756207796.15723
