p+0.04_10.9562_0 dE= 0.01203
actual force   predicted force   difference
4080955562327.80322
5473400561276.39355
5473400561276.39453
4002024156997.14795
3206333299614.84424
3015560600669.39014
4632077577126.77051
5163022384626.88770
5235379856022.49316
3936680169712.06152
3936680169712.06152
3660460120335.32373
3660460120335.32568
3458862059845.49512
3458862059845.49561
4325650621515.93018
4325650621515.92676
5380406356246.59375
5433453186846.95605
5433453186846.95703
5380406356246.58887
3887939302210.16797
3887939302210.16504
4080955562327.80176
4080955562327.80371
5473400561276.39453
5473400561276.39453
4002024156997.14941
4632077577126.77051
3206333299614.84082
5235379856022.49316
5163022384626.88770
3015560600669.39111
4160510013489.01172
4213462285068.81738
4421042128749.47754
3938730531665.88672
4736193442591.59082
4821768950867.99121
3778576439361.16357
5090968513117.58691
5335213471531.51074
5568143932050.22559
2680387430412.62646
2803859722887.85498
4384585047646.75879
4384585047646.75781
4649350737200.64844
4649350737200.64551
5157869398802.12793
5157869398802.12598
4377115704703.35303
3806410720390.81201
3737000177524.60645
2564827824067.86475
2536815467904.62061
5648508642571.51367
4753930148480.65625
4753930148480.65430
4936490553656.32031
4936490553656.31934
4513564479108.11523
3287073754117.40820
3287073754117.41113
3231217365915.05713
3231217365915.05957
4513564479108.11621
5244768189008.66699
5244768189008.66309
3302938269884.77783
3302938269884.77930
3430262077873.94141
3430262077873.94287
4244335490641.97656
4244335490641.97949
4602561568594.27148
4602561568594.27246
5170673523875.46680
5170673523875.46582
5324606104213.93359
5324606104213.93555
3936680169712.06152
3936680169712.06494
3660460120335.32812
3660460120335.32422
3458862059845.49561
3458862059845.49707
4325650621515.93018
4325650621515.92627
5380406356246.58984
5433453186846.95801
5433453186846.95703
5380406356246.59082
3663133697275.83887
3663133697275.83789
3663133697275.84131
3663133697275.83740
3984653772682.77637
3984653772682.78027
3984653772682.77979
3984653772682.78223
5474109582652.56641
5474109582652.56934
5474109582652.56836
5474109582652.56738
3936680169712.06250
3936680169712.06299
3660460120335.32520
3660460120335.32666
3458862059845.49707
3458862059845.49512
4325650621515.93262
4325650621515.92773
5380406356246.59375
5433453186846.95898
5433453186846.95605
5380406356246.59082
5170673523875.46582
5170673523875.46777
5324606104213.93457
5324606104213.93359
4602561568594.27246
4602561568594.27148
4244335490641.97705
4244335490641.97461
3430262077873.94336
3302938269884.77393
3302938269884.77734
3430262077873.94043
4936490553656.31836
4936490553656.31836
4753930148480.65430
4753930148480.65332
4513564479108.11426
4513564479108.11133
3287073754117.40527
3287073754117.40820
3231217365915.05859
3231217365915.05420
5244768189008.66406
5244768189008.66211
4384585047646.76025
4384585047646.75879
4649350737200.64648
4649350737200.64551
5157869398802.12402
5157869398802.12695
4377115704703.35254
3806410720390.81201
3737000177524.60693
2564827824067.86523
2536815467904.62012
5648508642571.51172
4213462285068.81738
4160510013489.01270
4421042128749.47754
3938730531665.88574
4821768950867.99121
4736193442591.59180
3778576439361.16309
5090968513117.58594
5335213471531.51172
5568143932050.22656
2803859722887.85693
2680387430412.62744
3887939302210.16602
3887939302210.16602
4080955562327.80029
4080955562327.80322
5473400561276.39258
5473400561276.39453
4002024156997.14746
4632077577126.76953
5163022384626.88770
5235379856022.49219
3206333299614.84326
3015560600669.39014
3936680169712.06104
3936680169712.06299
3660460120335.32617
3660460120335.32812
