p-0.04_10.875_0 dE= 0.01136
p+0.04_10.875_0 dE= 0.01132
p_uns_0.2_1000_998 dE= 0.46542
actual force   predicted force   difference
0.00431 0.00404 0.00027
-0.00088 0.00000 -0.00088
0.00151 0.00000 0.00151
-0.01634 0.00000 -0.01634
0.03001 0.03157 -0.00156
0.03158 0.03828 -0.00670
0.00037 0.00225 -0.00188
-0.02551 -0.02833 0.00282
-0.00616 -0.01012 0.00396
0.01278 0.01477 -0.00199
0.00074 -0.00135 0.00209
0.00458 0.00491 -0.00034
-0.00081 0.00076 -0.00156
-0.00032 -0.00214 0.00182
-0.00211 -0.00681 0.00470
-0.00005 -0.00526 0.00522
-0.00074 0.00136 -0.00210
0.00458 0.00492 -0.00034
-0.00081 0.00076 -0.00156
0.00032 0.00217 -0.00186
-0.00211 -0.00681 0.00470
-0.00005 -0.00525 0.00521
-0.03001 -0.03151 0.00151
0.03158 0.03824 -0.00666
0.00037 0.00225 -0.00188
0.02551 0.02846 -0.00295
-0.00616 -0.01019 0.00403
0.01278 0.01494 -0.00216
0.01997 0.02123 -0.00126
0.03556 0.03153 0.00402
0.00178 0.00399 -0.00221
0.00034 -0.00406 0.00440
0.00364 0.00870 -0.00506
0.00284 0.00413 -0.00129
0.00000 0.00001 -0.00001
0.00538 0.00256 0.00281
-0.00141 0.00076 -0.00217
0.00000 0.00000 0.00000
-0.00066 0.00000 -0.00066
0.00318 0.00000 0.00318
-0.01997 -0.02120 0.00124
0.03556 0.03145 0.00410
0.00178 0.00399 -0.00221
-0.00034 0.00407 -0.00442
0.00364 0.00869 -0.00505
0.00284 0.00416 -0.00132
0.00000 0.00001 -0.00001
0.00626 0.00256 0.00370
-0.00144 0.00076 -0.00220
0.00000 -0.00002 0.00002
-0.00395 -0.00022 -0.00374
-0.00456 0.00300 -0.00756
0.00108 0.00893 -0.00785
0.02634 0.03832 -0.01197
0.00108 0.00225 -0.00117
0.00048 -0.00190 0.00238
0.00466 0.01404 -0.00937
0.00250 0.00867 -0.00617
-0.00108 -0.00887 0.00779
0.02634 0.03820 -0.01186
0.00108 0.00225 -0.00117
-0.00048 0.00191 -0.00239
0.00466 0.01402 -0.00936
0.00250 0.00869 -0.00619
-0.00092 0.00136 -0.00228
0.00420 0.00492 -0.00072
-0.00079 0.00076 -0.00155
-0.00127 0.00000 -0.00127
0.00280 0.00000 0.00280
-0.00059 0.00000 -0.00059
0.00092 -0.00135 0.00227
0.00420 0.00491 -0.00072
-0.00079 0.00076 -0.00155
0.00127 0.00000 0.00127
0.00280 0.00000 0.00280
-0.00059 0.00000 -0.00059
-0.00000 -0.00082 0.00082
-0.41585 -0.43307 0.01722
-0.38494 -0.38390 -0.00104
0.00000 0.00001 -0.00001
0.08720 0.09744 -0.01024
0.07839 0.09321 -0.01482
-0.01507 -0.01123 -0.00385
0.00322 0.00325 -0.00003
-0.00001 0.00225 -0.00225
-0.01516 -0.00956 -0.00559
0.00204 -0.00440 0.00643
0.01187 0.00919 0.00268
0.00000 0.00008 -0.00008
0.00100 -0.00526 0.00625
0.00181 0.00399 -0.00218
0.00000 0.00000 0.00000
-0.00204 0.00000 -0.00204
-0.00137 0.00000 -0.00137
0.01507 0.01141 0.00366
0.00322 0.00321 0.00001
-0.00001 0.00225 -0.00225
0.01516 0.00957 0.00559
0.00204 -0.00437 0.00641
0.01187 0.00921 0.00267
0.00042 -0.00054 0.00095
0.00181 0.00135 0.00046
-0.00225 -0.00209 -0.00016
0.06341 0.06219 0.00123
0.04598 0.04213 0.00384
0.07308 0.06718 0.00590
-0.00079 0.00000 -0.00079
-0.00076 0.00000 -0.00076
0.00261 0.00000 0.00261
0.00099 0.00310 -0.00211
0.00161 0.00875 -0.00714
0.00335 0.01031 -0.00696
